"hotel","fecha","pickup_pronosticado"
"SLA","13/3/2020","0.75"
"SLA","14/3/2020","0.5"
"SLA","15/3/2020","0.75"
"SLA","16/3/2020","2"
"SLA","17/3/2020","2.25"
"SLA","18/3/2020","1.25"
"SLA","19/3/2020","1.5"
"SLA","20/3/2020","0.75"
"SLA","21/3/2020","1"
"SLA","22/3/2020","1.75"
"SLA","23/3/2020","-0.75"
"SLA","24/3/2020","-1.25"
"SLA","25/3/2020","-1.25"
"SLA","26/3/2020","-1.25"
"SLA","27/3/2020","-2.25"
"SLA","28/3/2020","-2.25"
"SLA","29/3/2020","-1.25"
"SLA","30/3/2020","-1.25"
"SLA","31/3/2020","-1.25"
"SLA","1/4/2020","-1.25"
"SLA","2/4/2020","-1.25"
"SLA","3/4/2020","-1.25"
"SLA","4/4/2020","-1.25"
"SLA","5/4/2020","-1.25"
"SLA","6/4/2020","-1.25"
"SLA","7/4/2020","-1.25"
"SLA","8/4/2020","-1.25"
"SLA","9/4/2020","-1.25"
"SLA","10/4/2020","-1.25"
"SLA","11/4/2020","-1.25"
"SLA","12/4/2020","-1.25"
"SLA","13/4/2020","-1.25"
"SLA","14/4/2020","-1.25"
"SLA","15/4/2020","-1.25"
"SLA","16/4/2020","-1.25"
"SLA","17/4/2020","-1.25"
"SLA","18/4/2020","-1.25"
"SLA","19/4/2020","-1.25"
"SLA","20/4/2020","-1.25"
"SLA","21/4/2020","-1.25"
"SLA","22/4/2020","-1.25"
"SLA","23/4/2020","-1.25"
"SLA","24/4/2020","-1.25"
"SLA","25/4/2020","-1.25"
"SLA","26/4/2020","-1.25"
"SLA","27/4/2020","-1.25"
"SLA","28/4/2020","-1.25"
"SLA","29/4/2020","-1.25"
"SLA","30/4/2020","-1.25"
"SLA","1/5/2020","-1.25"
"SLA","2/5/2020","-1.25"
"SLA","3/5/2020","-1.25"
"SLA","4/5/2020","-1.25"
"SLA","5/5/2020","-1.25"
"SLA","6/5/2020","-1.25"
"SLA","7/5/2020","-1.25"
"SLA","8/5/2020","-1.25"
"SLA","9/5/2020","-1.25"
"SLA","10/5/2020","-1.25"
"SLA","11/5/2020","-1.25"
"SLA","12/5/2020","-1.25"
"SLA","13/5/2020","-1.25"
"SLA","14/5/2020","-1.25"
"SLA","15/5/2020","-1.25"
"SLA","16/5/2020","-1.25"
"SLA","17/5/2020","-1.25"
"SLA","18/5/2020","-1.25"
"SLA","19/5/2020","-1.25"
"SLA","20/5/2020","-1.25"
"SLA","21/5/2020","-1.25"
"SLA","22/5/2020","-1.25"
"SLA","23/5/2020","-1.25"
"SLA","24/5/2020","-1.25"
"SLA","25/5/2020","-1.25"
"SLA","26/5/2020","-1.25"
"SLA","27/5/2020","-1.25"
"SLA","28/5/2020","-1.25"
"SLA","29/5/2020","-1.25"
"SLA","30/5/2020","-1.25"
"SLA","31/5/2020","-1.25"
"SLA","1/6/2020","-1.25"
"SLA","2/6/2020","-1.25"
"SLA","3/6/2020","-1.25"
"SLA","4/6/2020","-1.25"
"SLA","5/6/2020","-1.25"
"SLA","6/6/2020","-1.25"
"SLA","7/6/2020","-1.25"
"SLA","8/6/2020","-1.25"
"SLA","9/6/2020","-1.25"
"SLA","10/6/2020","-1.25"
"SLA","11/6/2020","-1.25"
"SLA","12/6/2020","-1.25"
"SLA","13/6/2020","-1.25"
"SLA","14/6/2020","-1.25"
"SLA","15/6/2020","-1.25"
"SLA","16/6/2020","-1.25"
"SLA","17/6/2020","-1.25"
"SLA","18/6/2020","-1.25"
"SLA","19/6/2020","-1.25"
"SLA","20/6/2020","-1.25"
"SLA","21/6/2020","-1.25"
"SLA","22/6/2020","-1.25"
"SLA","23/6/2020","-1.25"
"SLA","24/6/2020","-1.25"
"SLA","25/6/2020","-1.25"
"SLA","26/6/2020","-1.25"
"SLA","27/6/2020","-1.25"
"SLA","28/6/2020","-1.25"
"SLA","29/6/2020","-1.25"
"SLA","30/6/2020","-1.25"
"SLA","1/7/2020","-1.25"
"SLA","2/7/2020","-1.25"
"SLA","3/7/2020","-1.25"
"SLA","4/7/2020","-1.25"
"SLA","5/7/2020","-1.25"
"SLA","6/7/2020","-1.25"
"SLA","7/7/2020","-1.25"
"SLA","8/7/2020","-1.25"
"SLA","9/7/2020","-1.25"
"SLA","10/7/2020","-1.25"
"SLA","11/7/2020","-1.25"
"SLA","12/7/2020","-1.25"
"SLA","13/7/2020","-1.25"
"SLA","14/7/2020","-1.25"
"SLA","15/7/2020","-1.25"
"SLA","16/7/2020","-1.25"
"SLA","17/7/2020","-1.25"
"SLA","18/7/2020","-1.25"
"SLA","19/7/2020","-1.25"
"SLA","20/7/2020","-1.25"
"SLA","21/7/2020","-1.25"
"SLA","22/7/2020","-1.25"
"SLA","23/7/2020","-1.25"
"SLA","24/7/2020","-1.25"
"SLA","25/7/2020","-1.25"
"SLA","26/7/2020","-1.25"
"SLA","27/7/2020","-1.25"
"SLA","28/7/2020","-1.25"
"SLA","29/7/2020","-1.25"
"SLA","30/7/2020","-1.25"
"SLA","31/7/2020","-1.25"
"SLA","1/8/2020","-1.25"
"SLA","2/8/2020","-1.25"
"SLA","3/8/2020","-1.25"
"SLA","4/8/2020","-1.25"
"SLA","5/8/2020","-1.25"
"SLA","6/8/2020","-1.25"
"SLA","7/8/2020","-1.25"
"SLA","8/8/2020","-1.25"
"SLA","9/8/2020","-1.25"
"SLA","10/8/2020","-1.25"
"SLA","11/8/2020","-1.25"
"SLA","12/8/2020","-1.25"
"SLA","13/8/2020","-1.25"
"SLA","14/8/2020","-1.25"
"SLA","15/8/2020","-1.25"
"SLA","16/8/2020","-1.25"
"SLA","17/8/2020","-1.25"
"SLA","18/8/2020","-1.25"
"SLA","19/8/2020","-1.25"
"SLA","20/8/2020","-1.25"
"SLA","21/8/2020","-1.25"
"SLA","22/8/2020","-1.25"
"SLA","23/8/2020","-1.25"
"SLA","24/8/2020","-1.25"
"SLA","25/8/2020","-1.25"
"SLA","26/8/2020","-1.25"
"SLA","27/8/2020","-1.25"
"SLA","28/8/2020","-1.25"
"SLA","29/8/2020","-1.25"
"SLA","30/8/2020","-1.25"
"SLA","31/8/2020","-1.25"
"SLA","1/9/2020","-1.25"
"SLA","2/9/2020","-1.25"
"SLA","3/9/2020","-1.25"
"SLA","4/9/2020","-1.25"
"SLA","5/9/2020","-1.25"
"SLA","6/9/2020","-1.25"
"SLA","7/9/2020","-1.25"
"SLA","8/9/2020","-1.25"
"SLA","9/9/2020","-1.25"
"SLA","10/9/2020","-1.25"
"SLA","11/9/2020","-1.25"
"SLA","12/9/2020","-1.25"
"SLA","13/9/2020","-1.25"
"SLA","14/9/2020","-1.25"
"SLA","15/9/2020","-1.25"
"SLA","16/9/2020","-1.25"
"SLA","17/9/2020","-1.25"
"SLA","18/9/2020","-1.25"
"SLA","19/9/2020","-1.25"
"SLA","20/9/2020","-1.25"
"SLA","21/9/2020","-1.25"
"SLA","22/9/2020","-1.25"
"SLA","23/9/2020","0.75"
"SLA","24/9/2020","1.75"
"SLA","25/9/2020","-1.25"
"SLA","26/9/2020","0.75"
"SLA","27/9/2020","0.75"
"SLA","28/9/2020","-1.25"
"SLA","29/9/2020","-1.25"
"SLA","30/9/2020","-1.25"
"SLA","1/10/2020","-0.25"
"SLA","2/10/2020","0.75"
"SLA","3/10/2020","0.75"
"SLA","4/10/2020","2.75"
"SLA","5/10/2020","2.75"
"SLA","6/10/2020","-0.25"
"SLA","7/10/2020","5"
"SLA","8/10/2020","-1"
"SLA","9/10/2020","-1"
"SLA","10/10/2020","-1.25"
"SLA","11/10/2020","4.75"
"SLA","12/10/2020","0.75"
"SLA","13/10/2020","-1.25"
"SLA","14/10/2020","-1.25"
"SLA","15/10/2020","-1.25"
"SLA","16/10/2020","-0.5"
"SLA","17/10/2020","-1.25"
"SLA","18/10/2020","-1.25"
"SLA","19/10/2020","-1.25"
"SLA","20/10/2020","-1.25"
"SLA","21/10/2020","0.75"
"SLA","22/10/2020","-0.25"
"SLA","23/10/2020","-1.25"
"SLA","24/10/2020","-1.25"
"SLA","25/10/2020","-1.25"
"SLA","26/10/2020","-1.25"
"SLA","27/10/2020","0.75"
"SLA","28/10/2020","2.75"
"SLA","29/10/2020","4.75"
"SLA","30/10/2020","2.75"
"SLA","31/10/2020","0.75"
"SLA","1/11/2020","0.75"
"SLA","2/11/2020","0.75"
"SLA","3/11/2020","1.75"
"SLA","4/11/2020","-1.25"
"SLA","5/11/2020","-1.25"
"SLA","6/11/2020","-1.25"
"SLA","7/11/2020","-1.25"
"SLA","8/11/2020","-1.25"
"SLA","9/11/2020","-1.25"
"SLA","10/11/2020","-1.25"
"SLA","11/11/2020","3.75"
"SLA","12/11/2020","2.75"
"SLA","13/11/2020","-0.25"
"SLA","14/11/2020","-1.25"
"SLA","15/11/2020","-1.25"
"SLA","16/11/2020","1.75"
"SLA","17/11/2020","-1.25"
"SLA","18/11/2020","0.75"
"SLA","19/11/2020","0.75"
"SLA","20/11/2020","0.75"
"SLA","21/11/2020","1.75"
"SLA","22/11/2020","-1.25"
"SLA","23/11/2020","-1.25"
"SLA","24/11/2020","1.75"
"SLA","25/11/2020","-1.25"
"SLA","26/11/2020","-1.25"
"SLA","27/11/2020","2.75"
"SLA","28/11/2020","0.75"
"SLA","29/11/2020","-0.25"
"SLA","30/11/2020","2.75"
"SLA","1/12/2020","2.75"
"SLA","2/12/2020","-1.25"
"SLA","3/12/2020","-1.25"
"SLA","4/12/2020","-1.25"
"SLA","5/12/2020","7.75"
"SLA","6/12/2020","1.75"
"SLA","7/12/2020","9.25"
"SLA","8/12/2020","5.75"
"SLA","9/12/2020","3.75"
"SLA","10/12/2020","2.75"
"SLA","11/12/2020","3.75"
"SLA","12/12/2020","6.75"
"SLA","13/12/2020","-0.25"
"SLA","14/12/2020","0.5"
"SLA","15/12/2020","2.75"
"SLA","16/12/2020","-1.25"
"SLA","17/12/2020","-0.25"
"SLA","18/12/2020","0.75"
"SLA","19/12/2020","9.75"
"SLA","20/12/2020","15.75"
"SLA","21/12/2020","9.75"
"SLA","22/12/2020","5.75"
"SLA","23/12/2020","6.75"
"SLA","24/12/2020","11.75"
"SLA","25/12/2020","7.75"
"SLA","26/12/2020","4.75"
"SLA","27/12/2020","18.75"
"SLA","28/12/2020","24"
"SLA","29/12/2020","12"
"SLA","30/12/2020","9"
"SLA","31/12/2020","10"
"SLA","1/1/2021","3.75"
"SLA","2/1/2021","1.75"
"SLA","3/1/2021","1.75"
"SLA","4/1/2021","0.75"
"SLA","5/1/2021","1.75"
"SLA","6/1/2021","1.5"
"SLA","7/1/2021","-1.25"
"SLA","8/1/2021","-0.25"
"SLA","9/1/2021","-0.25"
"SLA","10/1/2021","-0.25"
"SLA","11/1/2021","0.75"
"SLA","12/1/2021","5.75"
"SLA","13/1/2021","1.75"
"SLA","14/1/2021","1.75"
"SLA","15/1/2021","-1.25"
"SLA","16/1/2021","-1.25"
"SLA","17/1/2021","0.75"
"SLA","18/1/2021","3.75"
"SLA","19/1/2021","0.75"
"SLA","20/1/2021","-1.25"
"SLA","21/1/2021","1.75"
"SLA","22/1/2021","-0.25"
"SLA","23/1/2021","1.75"
"SLA","24/1/2021","-1.25"
"SLA","25/1/2021","1.75"
"SLA","26/1/2021","2.75"
"SLA","27/1/2021","-0.25"
"SLA","28/1/2021","-0.5"
"SLA","29/1/2021","-1.25"
"SLA","30/1/2021","-1.25"
"SLA","31/1/2021","-1.25"
"SLA","1/2/2021","-0.25"
"SLA","2/2/2021","-1.25"
"SLA","3/2/2021","-1.25"
"SLA","4/2/2021","-0.25"
"SLA","5/2/2021","0.75"
"SLA","6/2/2021","-0.25"
"SLA","7/2/2021","-1.25"
"SLA","8/2/2021","-1.25"
"SLA","9/2/2021","-1.25"
"SLA","10/2/2021","-0.25"
"SLA","11/2/2021","-0.25"
"SLA","12/2/2021","-1.25"
"SLA","13/2/2021","-1.25"
"SLA","14/2/2021","-1.25"
"SLA","15/2/2021","-1.25"
"SLA","16/2/2021","-1.25"
"SLA","17/2/2021","-1.25"
"SLA","18/2/2021","-1.25"
"SLA","19/2/2021","-1.25"
"SLA","20/2/2021","-1.25"
"SLA","21/2/2021","-1.25"
"SLA","22/2/2021","-1.25"
"SLA","23/2/2021","-1.25"
"SLA","24/2/2021","-1.25"
"SLA","25/2/2021","-1.25"
"SLA","26/2/2021","-1.25"
"SLA","27/2/2021","-1.25"
"SLA","28/2/2021","-1.25"
"SLA","1/3/2021","-1.25"
"SLA","2/3/2021","-1.25"
"SLA","3/3/2021","-1.25"
"SLA","4/3/2021","-0.25"
"SLA","5/3/2021","0.75"
"SLA","6/3/2021","0.75"
"SLA","7/3/2021","-0.5"
"SLA","8/3/2021","-1.25"
"SLA","9/3/2021","-1.25"
"SLA","10/3/2021","-0.25"
"SLA","11/3/2021","-0.25"
"SLA","12/3/2021","-1.25"
"SLA","13/3/2021","-1.25"
"SLA","14/3/2021","-0.25"
"SLA","15/3/2021","-0.25"
"SLA","16/3/2021","-0.25"
"SLA","17/3/2021","-1.25"
"SLA","18/3/2021","-1.25"
"SPA","13/3/2020","-0.25"
"SPA","14/3/2020","-0.5"
"SPA","15/3/2020","-1"
"SPA","16/3/2020","-0.25"
"SPA","17/3/2020","-1"
"SPA","18/3/2020","-0.5"
"SPA","19/3/2020","-2.25"
"SPA","20/3/2020","-2.25"
"SPA","21/3/2020","-3.25"
"SPA","22/3/2020","-3.25"
"SPA","23/3/2020","-3.25"
"SPA","24/3/2020","-3.25"
"SPA","25/3/2020","-3.25"
"SPA","26/3/2020","-3.25"
"SPA","27/3/2020","-3.25"
"SPA","28/3/2020","-3.25"
"SPA","29/3/2020","-3.25"
"SPA","30/3/2020","-3.25"
"SPA","31/3/2020","-3.25"
"SPA","1/4/2020","-3.25"
"SPA","2/4/2020","-3.25"
"SPA","3/4/2020","-3.25"
"SPA","4/4/2020","-3.25"
"SPA","5/4/2020","-3.25"
"SPA","6/4/2020","-3.25"
"SPA","7/4/2020","-3.25"
"SPA","8/4/2020","-3.25"
"SPA","9/4/2020","-3.25"
"SPA","10/4/2020","-3.25"
"SPA","11/4/2020","-3.25"
"SPA","12/4/2020","-3.25"
"SPA","13/4/2020","-3.25"
"SPA","14/4/2020","-3.25"
"SPA","15/4/2020","-3.25"
"SPA","16/4/2020","-3.25"
"SPA","17/4/2020","-3.25"
"SPA","18/4/2020","-3.25"
"SPA","19/4/2020","-3.25"
"SPA","20/4/2020","-3.25"
"SPA","21/4/2020","-3.25"
"SPA","22/4/2020","-3.25"
"SPA","23/4/2020","-3.25"
"SPA","24/4/2020","-3.25"
"SPA","25/4/2020","-3.25"
"SPA","26/4/2020","-3.25"
"SPA","27/4/2020","-3.25"
"SPA","28/4/2020","-3.25"
"SPA","29/4/2020","-3.25"
"SPA","30/4/2020","-3.25"
"SPA","1/5/2020","-3.25"
"SPA","2/5/2020","-3.25"
"SPA","3/5/2020","-3.25"
"SPA","4/5/2020","-3.25"
"SPA","5/5/2020","-3.25"
"SPA","6/5/2020","-3.25"
"SPA","7/5/2020","-3.25"
"SPA","8/5/2020","-3.25"
"SPA","9/5/2020","-3.25"
"SPA","10/5/2020","-3.25"
"SPA","11/5/2020","-3.25"
"SPA","12/5/2020","-3.25"
"SPA","13/5/2020","-3.25"
"SPA","14/5/2020","-3.25"
"SPA","15/5/2020","-3.25"
"SPA","16/5/2020","-3.25"
"SPA","17/5/2020","-3.25"
"SPA","18/5/2020","-3.25"
"SPA","19/5/2020","-3.25"
"SPA","20/5/2020","-3.25"
"SPA","21/5/2020","-3.25"
"SPA","22/5/2020","-3.25"
"SPA","23/5/2020","-3.25"
"SPA","24/5/2020","-3.25"
"SPA","25/5/2020","-3.25"
"SPA","26/5/2020","-3.25"
"SPA","27/5/2020","-3.25"
"SPA","28/5/2020","-3.25"
"SPA","29/5/2020","-3.25"
"SPA","30/5/2020","-3.25"
"SPA","31/5/2020","-3.25"
"SPA","1/6/2020","-3.25"
"SPA","2/6/2020","-3.25"
"SPA","3/6/2020","-3.25"
"SPA","4/6/2020","-3.25"
"SPA","5/6/2020","-3.25"
"SPA","6/6/2020","-3.25"
"SPA","7/6/2020","-3.25"
"SPA","8/6/2020","-3.25"
"SPA","9/6/2020","-3.25"
"SPA","10/6/2020","-3.25"
"SPA","11/6/2020","-3.25"
"SPA","12/6/2020","-3.25"
"SPA","13/6/2020","-3.25"
"SPA","14/6/2020","-3.25"
"SPA","15/6/2020","-3.25"
"SPA","16/6/2020","-3.25"
"SPA","17/6/2020","-3.25"
"SPA","18/6/2020","-3.25"
"SPA","19/6/2020","-3.25"
"SPA","20/6/2020","-3.25"
"SPA","21/6/2020","-3.25"
"SPA","22/6/2020","-3.25"
"SPA","23/6/2020","-3.25"
"SPA","24/6/2020","-3.25"
"SPA","25/6/2020","-3.25"
"SPA","26/6/2020","-3.25"
"SPA","27/6/2020","-3.25"
"SPA","28/6/2020","-3.25"
"SPA","29/6/2020","-3.25"
"SPA","30/6/2020","-3.25"
"SPA","1/7/2020","-3.25"
"SPA","2/7/2020","-3.25"
"SPA","3/7/2020","-3.25"
"SPA","4/7/2020","-3.25"
"SPA","5/7/2020","-3.25"
"SPA","6/7/2020","-3.25"
"SPA","7/7/2020","-3.25"
"SPA","8/7/2020","-3.25"
"SPA","9/7/2020","-3.25"
"SPA","10/7/2020","-3.25"
"SPA","11/7/2020","-3.25"
"SPA","12/7/2020","-3.25"
"SPA","13/7/2020","-3.25"
"SPA","14/7/2020","-3.25"
"SPA","15/7/2020","-3.25"
"SPA","16/7/2020","-3.25"
"SPA","17/7/2020","-3.25"
"SPA","18/7/2020","-3.25"
"SPA","19/7/2020","-3.25"
"SPA","20/7/2020","-3.25"
"SPA","21/7/2020","-3.25"
"SPA","22/7/2020","-3.25"
"SPA","23/7/2020","-3.25"
"SPA","24/7/2020","-3.25"
"SPA","25/7/2020","-3.25"
"SPA","26/7/2020","-3.25"
"SPA","27/7/2020","-3.25"
"SPA","28/7/2020","-3.25"
"SPA","29/7/2020","-3.25"
"SPA","30/7/2020","-3.25"
"SPA","31/7/2020","-3.25"
"SPA","1/8/2020","-3.25"
"SPA","2/8/2020","-3.25"
"SPA","3/8/2020","-3.25"
"SPA","4/8/2020","-3.25"
"SPA","5/8/2020","-3.25"
"SPA","6/8/2020","-3.25"
"SPA","7/8/2020","-3.25"
"SPA","8/8/2020","-3.25"
"SPA","9/8/2020","-3.25"
"SPA","10/8/2020","-3.25"
"SPA","11/8/2020","-3.25"
"SPA","12/8/2020","-3.25"
"SPA","13/8/2020","-3.25"
"SPA","14/8/2020","-3.25"
"SPA","15/8/2020","-3.25"
"SPA","16/8/2020","-3.25"
"SPA","17/8/2020","-3.25"
"SPA","18/8/2020","-3.25"
"SPA","19/8/2020","-3.25"
"SPA","20/8/2020","-3.25"
"SPA","21/8/2020","-3.25"
"SPA","22/8/2020","-3.25"
"SPA","23/8/2020","-3.25"
"SPA","24/8/2020","-3.25"
"SPA","25/8/2020","-3.25"
"SPA","26/8/2020","-3.25"
"SPA","27/8/2020","-3.25"
"SPA","28/8/2020","-3.25"
"SPA","29/8/2020","-3.25"
"SPA","30/8/2020","-3.25"
"SPA","31/8/2020","-3.25"
"SPA","1/9/2020","-3.25"
"SPA","2/9/2020","-3.25"
"SPA","3/9/2020","-3.25"
"SPA","4/9/2020","-3.25"
"SPA","5/9/2020","-3.25"
"SPA","6/9/2020","-3.25"
"SPA","7/9/2020","-3.25"
"SPA","8/9/2020","-3.25"
"SPA","9/9/2020","-3.25"
"SPA","10/9/2020","-3.25"
"SPA","11/9/2020","-3.25"
"SPA","12/9/2020","-3.25"
"SPA","13/9/2020","-3.25"
"SPA","14/9/2020","-3.25"
"SPA","15/9/2020","-3.25"
"SPA","16/9/2020","-3.25"
"SPA","17/9/2020","-3.25"
"SPA","18/9/2020","-3.25"
"SPA","19/9/2020","-3.25"
"SPA","20/9/2020","-3.25"
"SPA","21/9/2020","-3.25"
"SPA","22/9/2020","-3.25"
"SPA","23/9/2020","-3.25"
"SPA","24/9/2020","-3.25"
"SPA","25/9/2020","-2.25"
"SPA","26/9/2020","-2.25"
"SPA","27/9/2020","-2.25"
"SPA","28/9/2020","-3.25"
"SPA","29/9/2020","-2.25"
"SPA","30/9/2020","-2.25"
"SPA","1/10/2020","-2.25"
"SPA","2/10/2020","-1.25"
"SPA","3/10/2020","-1.25"
"SPA","4/10/2020","-1.25"
"SPA","5/10/2020","-1.25"
"SPA","6/10/2020","-1.25"
"SPA","7/10/2020","-1.5"
"SPA","8/10/2020","-0.25"
"SPA","9/10/2020","-0.25"
"SPA","10/10/2020","-0.25"
"SPA","11/10/2020","-1.25"
"SPA","12/10/2020","-3.25"
"SPA","13/10/2020","-3.25"
"SPA","14/10/2020","-3.25"
"SPA","15/10/2020","5.75"
"SPA","16/10/2020","6.75"
"SPA","17/10/2020","6.75"
"SPA","18/10/2020","-0.25"
"SPA","19/10/2020","-2.25"
"SPA","20/10/2020","-3.25"
"SPA","21/10/2020","0.75"
"SPA","22/10/2020","3.75"
"SPA","23/10/2020","3.75"
"SPA","24/10/2020","-1.25"
"SPA","25/10/2020","-1.25"
"SPA","26/10/2020","-1.25"
"SPA","27/10/2020","-3.25"
"SPA","28/10/2020","-3.25"
"SPA","29/10/2020","0.75"
"SPA","30/10/2020","0.75"
"SPA","31/10/2020","0.75"
"SPA","1/11/2020","-1.25"
"SPA","2/11/2020","-1.25"
"SPA","3/11/2020","-1.25"
"SPA","4/11/2020","-0.25"
"SPA","5/11/2020","-2.25"
"SPA","6/11/2020","-2.25"
"SPA","7/11/2020","-2.25"
"SPA","8/11/2020","-3.25"
"SPA","9/11/2020","-3.25"
"SPA","10/11/2020","-3.25"
"SPA","11/11/2020","-3.25"
"SPA","12/11/2020","-3.25"
"SPA","13/11/2020","-3.25"
"SPA","14/11/2020","1.75"
"SPA","15/11/2020","1.75"
"SPA","16/11/2020","-3.25"
"SPA","17/11/2020","-3.25"
"SPA","18/11/2020","-1.25"
"SPA","19/11/2020","-2.25"
"SPA","20/11/2020","-3.25"
"SPA","21/11/2020","-2.25"
"SPA","22/11/2020","-3.25"
"SPA","23/11/2020","-3.25"
"SPA","24/11/2020","-2.25"
"SPA","25/11/2020","-2.25"
"SPA","26/11/2020","2.75"
"SPA","27/11/2020","2.75"
"SPA","28/11/2020","2.75"
"SPA","29/11/2020","-1.25"
"SPA","30/11/2020","-3.25"
"SPA","1/12/2020","-1.25"
"SPA","2/12/2020","0.75"
"SPA","3/12/2020","1.75"
"SPA","4/12/2020","3.75"
"SPA","5/12/2020","1.75"
"SPA","6/12/2020","0"
"SPA","7/12/2020","-3.25"
"SPA","8/12/2020","-2.25"
"SPA","9/12/2020","-2.25"
"SPA","10/12/2020","-1.25"
"SPA","11/12/2020","0.75"
"SPA","12/12/2020","-0.25"
"SPA","13/12/2020","-0.25"
"SPA","14/12/2020","-1.25"
"SPA","15/12/2020","-0.25"
"SPA","16/12/2020","-2.25"
"SPA","17/12/2020","-2.25"
"SPA","18/12/2020","-0.25"
"SPA","19/12/2020","0.25"
"SPA","20/12/2020","-0.5"
"SPA","21/12/2020","3.5"
"SPA","22/12/2020","5.5"
"SPA","23/12/2020","8.5"
"SPA","24/12/2020","21.75"
"SPA","25/12/2020","23.75"
"SPA","26/12/2020","23.75"
"SPA","27/12/2020","17.75"
"SPA","28/12/2020","13.75"
"SPA","29/12/2020","15.75"
"SPA","30/12/2020","18.75"
"SPA","31/12/2020","22.75"
"SPA","1/1/2021","20.75"
"SPA","2/1/2021","0.75"
"SPA","3/1/2021","-1"
"SPA","4/1/2021","-0.25"
"SPA","5/1/2021","-0.25"
"SPA","6/1/2021","-0.25"
"SPA","7/1/2021","-1.75"
"SPA","8/1/2021","-2.75"
"SPA","9/1/2021","-1"
"SPA","10/1/2021","-1"
"SPA","11/1/2021","-1.75"
"SPA","12/1/2021","-3.25"
"SPA","13/1/2021","-3.25"
"SPA","14/1/2021","-3.25"
"SPA","15/1/2021","-2.25"
"SPA","16/1/2021","-1.25"
"SPA","17/1/2021","-2.25"
"SPA","18/1/2021","-2.25"
"SPA","19/1/2021","-3.25"
"SPA","20/1/2021","-0.25"
"SPA","21/1/2021","-0.25"
"SPA","22/1/2021","-2.25"
"SPA","23/1/2021","-3.25"
"SPA","24/1/2021","-1.25"
"SPA","25/1/2021","-1.25"
"SPA","26/1/2021","-1.25"
"SPA","27/1/2021","-1.25"
"SPA","28/1/2021","-0.25"
"SPA","29/1/2021","0.75"
"SPA","30/1/2021","0.75"
"SPA","31/1/2021","-2.25"
"SPA","1/2/2021","-3.25"
"SPA","2/2/2021","-3.25"
"SPA","3/2/2021","-1.25"
"SPA","4/2/2021","-1.25"
"SPA","5/2/2021","-3.25"
"SPA","6/2/2021","-1.25"
"SPA","7/2/2021","-3.25"
"SPA","8/2/2021","-3.25"
"SPA","9/2/2021","-3.25"
"SPA","10/2/2021","-3.25"
"SPA","11/2/2021","-2.25"
"SPA","12/2/2021","-2.25"
"SPA","13/2/2021","-3.25"
"SPA","14/2/2021","-3.25"
"SPA","15/2/2021","-3.25"
"SPA","16/2/2021","-3.25"
"SPA","17/2/2021","-3.25"
"SPA","18/2/2021","-0.25"
"SPA","19/2/2021","-0.25"
"SPA","20/2/2021","-3.25"
"SPA","21/2/2021","-1.25"
"SPA","22/2/2021","-1.25"
"SPA","23/2/2021","-3.25"
"SPA","24/2/2021","-2.25"
"SPA","25/2/2021","-2.25"
"SPA","26/2/2021","-2.25"
"SPA","27/2/2021","-3.25"
"SPA","28/2/2021","-3.25"
"SPA","1/3/2021","-3.25"
"SPA","2/3/2021","-3.25"
"SPA","3/3/2021","-3.25"
"SPA","4/3/2021","-3.25"
"SPA","5/3/2021","-2.25"
"SPA","6/3/2021","-2.25"
"SPA","7/3/2021","-3.25"
"SPA","8/3/2021","-3.25"
"SPA","9/3/2021","-3.25"
"SPA","10/3/2021","-3.25"
"SPA","11/3/2021","-3.25"
"SPA","12/3/2021","-3.25"
"SPA","13/3/2021","-3.25"
"SPA","14/3/2021","-3.25"
"SPA","15/3/2021","-3.25"
"SPA","16/3/2021","-3.25"
"SPA","17/3/2021","-3.25"
"SPA","18/3/2021","-2.25"
